air_date	show_number	category	value	question	answer
2023-11-01	0	"""BROWN"" OUT"	1000	Typing this sentence, containing all 26 letters of the alphabet, is a tried and true method of testing out your keyboard	The quick brown fox jumps over the lazy dog.
2023-11-01	0	PLAY TITLES	0	"This 1959 play's title was taken from a Langston Hughes poem that begins, ""What happens to a dream deferred?"""	A Raisin in the Sun (by Lorraine Hansberry)
2023-10-25	0	ABOVE, BELOW OR INTERSECTED BY THE EQUATOR	100	China	above
2023-10-25	0	ABOVE, BELOW OR INTERSECTED BY THE EQUATOR	200	Madagascar	below
2023-10-25	0	ABOVE, BELOW OR INTERSECTED BY THE EQUATOR	300	Colombia	intersected
2023-10-25	0	ABOVE, BELOW OR INTERSECTED BY THE EQUATOR	400	India	above
2023-10-25	0	ABOVE, BELOW OR INTERSECTED BY THE EQUATOR	500	Kenya	intersected by
2023-10-25	0	FIX THE MOVIE QUOTE	100	"Tom Hanks:""Flavortown, we have a problem"""	Houston
2023-10-25	0	FIX THE MOVIE QUOTE	200	"Brad Pitt:""The first rule of chess club is: you do not talk about chess club"""	Fight Club
2023-10-25	0	FIX THE MOVIE QUOTE	300	"Patrick Swayze:""Nobody puts Jay-Z in a corner"""	Baby
2023-10-25	0	FIX THE MOVIE QUOTE	400	"Judy Garland:""Lions and tigers and Labradoodles, oh my!"""	bears
2023-10-25	0	FIX THE MOVIE QUOTE	500	"Ice Cube, in the 1995 movie ""Friday"":""Bye, amnesia"""	Felicia
2023-10-25	0	PRIDE & POTUS	100	In front of his wife Jill and other LGBT supporters, this POTUS signed 2022's Respect for Marriage Act into law	Joe Biden
2023-10-25	0	PRIDE & POTUS	200	Looking good, White House! The prideful display seen here was this POTUS's way of honoring 2015's Obergefell v. Hodges ruling	President Obama
2023-10-25	0	PRIDE & POTUS	300	The historic year gay activists picketed outside LBJ's White House; MLK's March on Washington was two years earlier	1965
2023-10-25	0	PRIDE & POTUS	400	"Patti Davis once recalled this POTUS, her dad, telling her ""some men love other men"""	Ronald Reagan
2023-10-25	0	PRIDE & POTUS	500	This POTUS joined the Republican Unity Coalition, a gay rights organization, roughly 25 years after leaving the White House	Gerald Ford
2023-10-25	0	FAILING HISTORY	100	On a trip to Asia in 1492, he ended up thousands of miles away and still got a U.S. federal holiday in his honor	Christopher Columbus
2023-10-25	0	FAILING HISTORY	200	Comic Trevor Noah's biracial background proved that this system designed to keep races separate in South Africa just didn't work	apartheid
2023-10-25	0	FAILING HISTORY	300	Understandably, noted traitor Benedict Arnold isn't buried in the U.S., but at St. Mary's church in this city	London
2023-10-25	0	FAILING HISTORY	300	A poll of historical writers named this Tudor king the worst monarch in history and his six wives would probably agree	Henry VIII
2023-10-25	0	FAILING HISTORY	500	"Genghis Khan had a breakthrough when he ""broke through"" this fortified Asian structure that was built over 2000 years"	the Great Wall of China
2023-10-25	0	NAME DROPPERS	100	"Time to make the... oh, never mind.  This chain officially dropped ""Donuts"" from its name in 2019"	Dunkin'
2023-10-25	0	NAME DROPPERS	200	"France caught a sick burn in 2003, when D.C. cafeterias dropped the name ""French fries"" and started serving these"	Freedom fries
2023-10-25	0	NAME DROPPERS	300	A little ditty 'bout... John Mellencamp, who axed this word from his stage name in 1991	Cougar
2023-10-25	0	NAME DROPPERS	400	"Partly to distance themselves from J.K. Rowling, athletes are now replacing this name for their sport with ""quadball"""	quidditch
2023-10-25	0	NAME DROPPERS	500	Turns out, trimming 17 nonessential letters from your name will increase sales. Just ask retailer RH, formerly called this	Restoration Hardware
2023-10-25	0	MIXED GREENS	100	Lucky you!  This symbol appears in the logo of Irish airline Aer Lingus:MASH CORK	shamrock
2023-10-25	0	MIXED GREENS	200	May's birthstone:LAME RED	emerald
2023-10-25	0	MIXED GREENS	300	"""Before You Leap"" is this Muppet's autobiography:HERMIT KEG FORT"	Kermit the Frog
2023-10-25	0	MIXED GREENS	400	She's been staring at Brooklyn since 1886, and man, her right arm must be tired!:I FLOUT TERABYTES	Statue of Liberty
2023-10-25	0	MIXED GREENS	500	"This ""powder""-ful drink is made from finely ground green tea leaves:CAT HAM"	matcha
2023-10-25	0	LIBRARIES	200	Library card sign-up month occurs during this month of the year (yay! back to school!)	September
2023-10-25	0	LIBRARIES	400	Margaret Mitchell went to the Atlanta library while writing this novel to fact-check if iodine was used in Civil War hospitals	Gone With the Wind
2023-10-25	0	LIBRARIES	600	The initialism of the New York public library is NYPL; as an acronym, some enjoy pronouncing it like this body part	nipple
2023-10-25	0	LIBRARIES	2000	"On display at the Newark Public Librarv is the copy of ""Portnoy's Complaint"" this author inscribed to his parents"	Philip Roth
2023-10-25	0	LIBRARIES	1000	"She wrote ""I was 6 when my father walked me to my first library""; she was 37 when her novel ""The Joy Luck Club"" was published"	Amy Tan
2023-10-25	0	OH, BROTHER!	200	Adam and Eve's first two sons; you may have heard they had a falling out	Cain & Abel
2023-10-25	0	OH, BROTHER!	400	Famously feuding brothers Noel and Liam Gallagher don't look back in anger at 1991, the year they formed this band	Oasis
2023-10-25	0	OH, BROTHER!	600	One of the great actors of his era, Edwin Booth's fame was eclipsed by his younger brother, this infamous assassin	John Wilkes Booth
2023-10-25	0	OH, BROTHER!	800	This Safdie Brothers film was inspired by stories their father told them about working in New York City's Diamond District	Uncut Gems
2023-10-25	0	OH, BROTHER!	1000	These NFL siblings made history in 2023 by becoming the first brothers to compete against each other in the Super Bowl	the Kelce brothers (Jason & Travis Kelce)
2023-10-25	0	SNEAKER BRANDS	200	Chuck Taylor All Star Classic	Converse
2023-10-25	0	SNEAKER BRANDS	400	Air Max 90 &Air Force 1	Nike
2023-10-25	0	SNEAKER BRANDS	600	Stan Smith &Samba Classic	Adidas
2023-10-25	0	SNEAKER BRANDS	800	Speedcat,Drift Cat &Neo Cat	Puma
2023-10-25	0	SNEAKER BRANDS	1000	Sk8-Hi &Old Skool	Vans
2023-10-25	0	AMERICAN BRIDGES	200	The Benjamin Franklin Bridge connects Camden, New Jersey to this city Ben moved to when he was 17	Philadelphia
2023-10-25	0	AMERICAN BRIDGES	400	It's estimated that more than 100 million vehicles per year cross the Hudson over this bridge, also called the GW	the George Washington Bridge
2023-10-25	0	AMERICAN BRIDGES	600	Seen here, the so-called Bunker Hill Bridge was built as part of this city's Big Dig project	Boston
2023-10-25	0	AMERICAN BRIDGES	800	Linking Memphis, Tennessee & West Memphis, Arkansas, the Hernando de Soto Bridge lies over this lengthy river	the Mississippi
2023-10-25	0	AMERICAN BRIDGES	1000	Nearly five miles long, the Mackinac Bridge connects this state's Upper & Lower peninsulas	Michigan
2023-10-25	0	THE NOBEL PRIZE	200	The presidency may have eluded him in 2000, but on the bright side, he won a Nobel Peace Prize in 2007	Al Gore
2023-10-25	0	THE NOBEL PRIZE	400	The prize for this newest category was first awarded in 1969 -- roughly 68 fiscal years after all the others	Economics
2023-10-25	0	THE NOBEL PRIZE	600	"The youngest-ever Nobel Prize winner is also a best-selling author, for her 2013 memoir titled ""I Am"" this"	Malala
2023-10-25	0	THE NOBEL PRIZE	2000	The Peace Prize is the only Nobel Prize awarded not in Stockholm, but in this fjord-tastic neighboring capital	Oslo
2023-10-25	0	THE NOBEL PRIZE	1000	Each Nobel Prize winner receives a medal, a cash award, and this official title--leafy head wreath not included	laureate
2023-10-25	0	BY THE NUMBERS	200	"Dialing it for directory assistance may be old news, but as slang for ""information"", this number is still in service"	411
2023-10-25	0	BY THE NUMBERS	400	From the hours worked at a typical job, this term now refers to the job itself--just ask Sheena or Dolly	9 to 5
2023-10-25	0	BY THE NUMBERS	600	"You don't need perfect vision to ask this trucker-inspired version of the question ""Where are you?"""	What's your 20?
2023-10-25	0	BY THE NUMBERS	800	"As slang, it sounds a lot less serious than ""shoplifting"" -- though your arresting officer might not agree"	five-finger discount
2023-10-25	0	BY THE NUMBERS	1000	It's the number Gordon Ramsay might bellow to announce he's removing an item from the menu	86
2023-10-25	0	TWEEN LIT	0	"Referring to the lengthy title of her much-discussed novel, this author lamented that she didn't just call the book ""Margaret"""	Judy Blume
2023-10-18	0	HISTORICAL MARKERS	100	"Located in Kokomo, Indiana, ""Haynes' Horseless Carriage"" is on the spot where Elwood Haynes first tested one of these in 1894"	automobile
2023-10-18	0	HISTORICAL MARKERS	200	The inscription seen here was etched into the steps of this DC landmark in 2003	the Lincoln Memorial
2023-10-18	0	HISTORICAL MARKERS	300	William Faulkner and Eudora Welty are featured on markers along a writers trail in this U.S. state	Mississippi
2023-10-18	0	HISTORICAL MARKERS	400	"A marker in Martinez, CA hails the town as the ""birthplace of the martini""; it recommends 2/3 gin and 1/3 this"	vermouth
2023-10-18	0	HISTORICAL MARKERS	900	"Along with ""Deep Throat"", he's the reporter mentioned on a historical marker outside a parking garage in Arlington, VA"	Bob Woodward
2023-10-18	0	REPETITIVE SONG TITLES	100	"It ain't no lie--*NSYNC had a top 10 hit in 2000 with this song (and we'd love for you to do the ""talking puppet hand"" motion)"	"""Bye Bye Bye"""
2023-10-18	0	REPETITIVE SONG TITLES	200	"The ""explosive"" trio of Jessie J, Ariana Grande & Nicki Minaj collaborated on this 2014 hit"	"""Bang Bang"""
2023-10-18	0	REPETITIVE SONG TITLES	300	Say the name of Buffalo's NFL team three times, and you'll say the title of this Destiny's Child song	"""Bills, Bills, Bills"""
2023-10-18	0	REPETITIVE SONG TITLES	400	"Questions asked by Run-DMC in this song include: ""Why ya buggin'?"" & ""Why you out there stuntin'?"""	"""Mary, Mary"""
2023-10-18	0	REPETITIVE SONG TITLES	500	"The Financial Times called this ABBA song, ""a lament about being poor in a rich man's world"""	"""Money, Money, Money"""
2023-10-18	0	BOARD GAMES	100	If you play the latest version of this Hasbro game you can be Chef White or Solicitor Peacock	Clue
2023-10-18	0	BOARD GAMES	200	One yummy change to this game over the years was renaming the Molasses Swamp the Chocolate Swamp	Candyland
2023-10-18	0	BOARD GAMES	300	Released in 2003, A Game of Thrones put players in the great houses of this fictional continent	Westeros
2023-10-18	0	BOARD GAMES	400	On a standard Scrabble board there are only 8 of these premium squares that boost your points	Triple Word Score
2023-10-18	0	BOARD GAMES	500	In Monopoly, Boardwalk is in the same color group as this alliterative property	Park Place
2023-10-18	0	RESPOND LIKE A PIRATE	100	In 2022, this fast food chain launched a line of dog toys shaped like roast beef sandwiches and curly fries	Arby's
2023-10-18	0	RESPOND LIKE A PIRATE	200	It's the world's smallest and shallowest ocean	the Arctic
2023-10-18	0	RESPOND LIKE A PIRATE	300	When he's not searching for the Lost Ark or the Temple of Doom, Indiana Jones teaches this subject	archaeology
2023-10-18	0	RESPOND LIKE A PIRATE	400	"There's a cannon in the logo of this English soccer team nicknamed ""The Gunners"""	Arsenal
2023-10-18	0	RESPOND LIKE A PIRATE	500	The World Tango Museum is located in this country	Argentina
2023-10-18	0	POPULAR BABY NAMES OF THE 2010s	100	#1 for boys: a boatload of kids share their name with this biblical ark builder	Noah
2023-10-18	0	POPULAR BABY NAMES OF THE 2010s	200	#1 for girls: it's also the first name of actresses Watson, Roberts & Thompson	Emma
2023-10-18	0	POPULAR BABY NAMES OF THE 2010s	300	#5 for boys: a term for a worker who lays bricks or stone	Mason
2023-10-18	0	POPULAR BABY NAMES OF THE 2010s	400	#2 for girls: it refers to a type of tree whose branches are symbols of peace	Olivia
2023-10-18	0	POPULAR BABY NAMES OF THE 2010s	500	#10 for girls: you'll see this name on a map of Wisconsin	Madison
2023-10-18	0	"""POP"" QUIZ, HOTSHOT"	100	AMC Theatres claims to sell 52 million bags of this snack food every year	popcorn
2023-10-18	0	"""POP"" QUIZ, HOTSHOT"	200	In 2013, cardinal Jorge Mario Bergoglio assumed this lofty title	Pope
2023-10-18	0	"""POP"" QUIZ, HOTSHOT"	300	If you love Dum Dums & Chupa Chups, you're a real sucker for this treat	a lollipop
2023-10-18	0	"""POP"" QUIZ, HOTSHOT"	400	The United Nations estimated that the world's this reached 8 billion on Nov. 15, 2022	population
2023-10-18	0	"""POP"" QUIZ, HOTSHOT"	500	In 1953, 10-year-old Gayla Peevey sang about wanting this large animal for Christmas	a hippopotamus
2023-10-18	0	ON ANOTHER PLANET	200	This planet is often called Earth's evil twin because it's similar in size & density, but it's a hot toxic mess	Venus
2023-10-18	0	ON ANOTHER PLANET	400	This 2nd-largest planet in our solar system is mostly made up of hydrogen & helium, so don't try standing on it	Saturn
2023-10-18	0	ON ANOTHER PLANET	600	The ancient Romans named this planet after their god of war, perhaps because it resembles a drop of blood in the night sky	Mars
2023-10-18	0	ON ANOTHER PLANET	800	The largest known storm in our Solar System, the Great Red Spot, has been swirling across this planet for centuries	Jupiter
2023-10-18	0	ON ANOTHER PLANET	1000	This blue-green ice giant was the first planet to be discovered with a telescope	Uranus
2023-10-18	0	DENZEL WASHINGTON	200	"""Mo' Better Blues"", ""Malcolm X"", ""Inside Man"": all Denzel Washington films & all directed by this man"	Spike Lee
2023-10-18	0	DENZEL WASHINGTON	400	Before Wakanda, Washington covered the cost of this aspiring actor to study at Oxford	Boseman
2023-10-18	0	DENZEL WASHINGTON	600	"""No one would take on his case... until one man was willing to take on the system"" was a tagline for this 1993 Washington film"	Philadelphia
2023-10-18	0	DENZEL WASHINGTON	800	"His credits include the HBO comedy series ""Ballers"" & the 2018 film ""BlacKkKlansman""; he's also Denzel Washington's son"	John David Washington
2023-10-18	0	DENZEL WASHINGTON	1000	"In a 2021 film adaptation of ""Macbeth"", Washington delivers the famous line ""Out, out, brief"" this"	candle
2023-10-18	0	HISTORIC QUOTES REPHRASED	200	"Richard Nixon, 1973: ""I don't self-identify as a thief"""	"""I am not a crook"""
2023-10-18	0	HISTORIC QUOTES REPHRASED	400	"Teddy Roosevelt, 1901: ""Treat others with respect, but make sure they know your military could still kick their ass"""	speak softly, and carry a big stick
2023-10-18	0	HISTORIC QUOTES REPHRASED	600	"Michelle Obama, 2016: ""If jerks are being jerks, keep it classy"""	if they go low, we go high
2023-10-18	0	HISTORIC QUOTES REPHRASED	800	"Friedrich Nietzsche, 1888: ""Tough situations will build my resilience--assuming I don't die first"""	what doesn't kill me makes me stronger
2023-10-18	0	HISTORIC QUOTES REPHRASED	1000	"John Paul Jones, 1779: ""Surrender? I'm just getting started"""	"""I have not yet begun to fight"""
2023-10-18	0	PODCASTS	200	"""Splinters with Gary Rogowski"" is a podcast in which the host discusses his expertise working with this material"	wood
2023-10-18	0	PODCASTS	600	"""5-4"" is a podcast that calls itself an ""occasionally profane take on the ideological battles"" of this federal body"	the Supreme Court
2023-10-18	0	PODCASTS	600	"Including an episode on petrochronology, ""Gneiss Chats"" is a podcast whose host has a PhD in ""applied"" this"	geology
2023-10-18	0	PODCASTS	800	"Evoking a home run stat belonging to one of its players, ""755 is Real"" is a podcast about this major league team"	the Atlanta Braves
2023-10-18	0	PODCASTS	1000	"On the podcast ""Disability Visibility"", an episode covering politics mentions this US senator from Illinois"	Tammy Duckworth
2023-10-18	0	OTHER WORDS FOR DOIN' IT	200	"In a simpler time, this phrase meant ""hang out & watch a movie""; it's evolved to mean ""hang out, watch a movie &... you know"""	Netflix & chill
2023-10-18	0	OTHER WORDS FOR DOIN' IT	400	Austin Powers may be pop culture's greatest champion of this randy British verb; it even made the title of his sequel	shag
2023-10-18	0	OTHER WORDS FOR DOIN' IT	600	"For absurd innuendo, nothing beats ""nudge, nudge"" or this other matching word pair, from a classic Monty Python sketch"	wink, wink
2023-10-18	0	OTHER WORDS FOR DOIN' IT	800	"There might be no dopier word for ""have sex with"" than this 1-syllable verb ending in ""K"", likely meant to evoke bouncing"	boink (or bonk)
2023-10-18	0	OTHER WORDS FOR DOIN' IT	1000	"We can thank ""Jersey Shore"" for the popularity of this hookup verb--which certainly evokes compression, if not romance"	smush
2023-10-18	0	"MIDDLE ""MAN"""	200	Used in several types of Sharpie markers, this kind of ink sounds like it will last forever (spoiler alert: it doesn't)	permanent
2023-10-18	0	"MIDDLE ""MAN"""	400	In 2021, Daniel Craig was given this honorary rank in the British Royal Navy, the same rank as James Bond	Commander
2023-10-18	0	"MIDDLE ""MAN"""	600	The marsupial seen here is called a this devil, named after the Australian island it's native to	Tasmanian
2023-10-18	0	"MIDDLE ""MAN"""	800	"Published annually, this type of reference book is full of facts & information, like the ""World"" or ""Old Farmer's"" one"	an almanac
2023-10-18	0	"MIDDLE ""MAN"""	3000	"Ernest Hemingway wrote about ""The Snows of"" this highest peak in Africa"	Kilimanjaro
2023-10-18	0	FAMOUS WOMEN	0	She joined the Sisters of Loreto at age 18, then took her good works to Calcutta, where she was called this	Mother Teresa
2023-10-11	0	AS SEEN ON SHARK TANK	100	A must-have during the pandemic, the Shark-backed Phonesoap device can sanitize your germy phone using this kind of light	an ultraviolet light
2023-10-11	0	AS SEEN ON SHARK TANK	200	Shark Lori Greiner won the bidding war for this smiley-faced cleaning implement, and the rest is sponge history	Scrub Daddy
2023-10-11	0	AS SEEN ON SHARK TANK	300	"This company with a bumblebee-inspired name has the highest lifetime sales in ""Shark"" history; that's a lot of socks"	Bombas
2023-10-11	0	AS SEEN ON SHARK TANK	400	"""The #1 way to #2"" is one notable tagline for this popular Shark-endorsed toilet stool (pun intended)"	Squatty Potty
2023-10-11	0	AS SEEN ON SHARK TANK	500	"Formerly ""Doorbot"", this smart video doorbell was scooped up by Amazon after the Sharks rejected it--those ding-dongs"	the Ring
2023-10-11	0	WOULDA, COULDA, SHOULDA	100	"She urged us to get out and vote in 2020, cautioning firsthand against ""another woulda, coulda, shoulda election"""	Hillary Clinton
2023-10-11	0	WOULDA, COULDA, SHOULDA	200	"The credo ""Shoulda, coulda, and woulda won't get it done"" led Pat Riley to 4 NBA titles coaching this team"	the L.A. Lakers
2023-10-11	0	WOULDA, COULDA, SHOULDA	300	"Decades of TV ads featured beverage drinkers lamenting, ""I could've had"" one of these juice cocktails"	a V8
2023-10-11	0	WOULDA, COULDA, SHOULDA	400	"This author of ""The Giving Tree"" gave us the poem ""Woulda-Coulda-Shoulda"", a fun-size lesson in just doing it"	Shel Silverstein
2023-10-11	0	WOULDA, COULDA, SHOULDA	500	"Darth Vader's cheery banter with the hero of this Disney+ series includes, ""You should've killed me when you had the chance"""	Obi-Wan Kenobi
2023-10-11	0	DEMONYMS	100	If you live in a scenic coastal region of Croatia, this term might refer to you--or perhaps to any of your 101 dogs	Dalmatian
2023-10-11	0	DEMONYMS	200	It's a bird! It's a fruit! It's the nickname for a native New Zealander!	a Kiwi
2023-10-11	0	DEMONYMS	300	This country has no nickname for its residents, perhaps because there aren't very many; but on the plus side... Pope sightings!	Vatican City
2023-10-11	0	DEMONYMS	400	"Never to be confused with Cretins with an ""I"", Cretans with an ""A"" hail from this nation's largest island"	Greece
2023-10-11	0	DEMONYMS	500	It's how you might refer to a resident of Tirana, a capital city near the Adriatic coast--or to a resident of NY's state capital	an Albanian
2023-10-11	0	OH, THAT'S RICH	100	Chef Jamie Oliver's website says that if you use lamb instead of beef for cottage pie, it should go by this occupational name	shepherd's pie
2023-10-11	0	OH, THAT'S RICH	200	Intoxicated West Point cadets started a riot on Christmas Eve, 1826 named for this seasonal treat which they clearly spiked	egg nog
2023-10-11	0	OH, THAT'S RICH	300	One signature of Detroit-style pizza is that instead of mozzarella, it uses brick cheese from this dairy state	Wisconsin
2023-10-11	0	OH, THAT'S RICH	400	To make a Black Forest cake you'll need chocolate, whipped cream and these fruits pitted	cherries
2023-10-11	0	OH, THAT'S RICH	500	"Appropriately, the name of this dish consisting of French fries, cheese curds & gravy is also slang for ""mess"" in Québec"	poutine
2023-10-11	0	LESSER-KNOWN SIBLINGS	100	Barbara Ross-Lee was the first Black female dean of a U.S. medical school; her sister led this '60s Motown group	The Supremes
2023-10-11	0	LESSER-KNOWN SIBLINGS	200	Like her father and Atticus Finch, Alice Lee, sister of author Harper Lee, was one of these professionals	lawyer
2023-10-11	0	LESSER-KNOWN SIBLINGS	300	"While his bros had hits like ""Sucker"", actor Frankie said he hated being called ""the bonus"" this name"	Jonas
2023-10-11	0	LESSER-KNOWN SIBLINGS	400	This man who seized power in his country in 1959 may have seen red when his sister Juanita sold her Miami pharmacy to CVS in 2006	Fidel Castro
2023-10-11	0	LESSER-KNOWN SIBLINGS	500	Berenice IV who was dethroned and executed by her father was the sister of this queen who committed suicide in 30 BC	Cleopatra
2023-10-11	0	"ALL YOU NEED IS ""L-O-V-E"""	100	"A company called ""London"" this ""tours"" provides ""a whirlwind tour of the history of the British public toilet"""	loo
2023-10-11	0	"ALL YOU NEED IS ""L-O-V-E"""	200	"Bert Lahr, who played the Cowardly Lion in ""The Wizard of Oz"", was fittingly born under this zodiac sign symbolized by a lion"	a Leo
2023-10-11	0	"ALL YOU NEED IS ""L-O-V-E"""	300	"Led Zeppelin warned that this type of wall is ""going to break"", while Don McLean lamented that it was dry"	a levee
2023-10-11	0	"ALL YOU NEED IS ""L-O-V-E"""	400	This Swedish automaker's museum features a full-sized XC90 SUV made from Legos	Volvo
2023-10-11	0	"ALL YOU NEED IS ""L-O-V-E"""	500	As Charles Darwin could tell you, to do this is to gradually change or develop over time	evolve
2023-10-11	0	FEELING GASSY	200	Head down to the hardware store for some C3H8, this gas they keep on hand for grillers	propane
2023-10-11	0	FEELING GASSY	400	In 2022, an environmental data firm used satellites to study how much methane comes from the belches of these farm animals	cows
2023-10-11	0	FEELING GASSY	600	Designed by a French marquis in 1783, the pyroscaphe was the first operable boat to be powered by this gas	steam
2023-10-11	0	FEELING GASSY	800	Unopened potato chip bags are made puffy by filling them with this gas, the most abundant one in our atmosphere	nitrogen
2023-10-11	0	FEELING GASSY	1000	Helium gas gets its name from the Greek word for this astronomical body where it was first detected	the Sun
2023-10-11	0	FICTIONAL TV TOWNS	200	Dillon, Texas (home of the Panthers, and Tim Riggins)	Friday Night Lights
2023-10-11	0	FICTIONAL TV TOWNS	400	Sunnydale, California (FYI, the local high school sits on top of a portal to a demonic dimension)	Buffy the Vampire Slayer
2023-10-11	0	FICTIONAL TV TOWNS	600	Stars Hollow, Connecticut (Luke's has the best cup of joe in town)	Gilmore Girls
2023-10-11	0	FICTIONAL TV TOWNS	800	Capeside, Massachusetts (a small town with a big teen angst problem)	Dawson's Creek
2023-10-11	0	FICTIONAL TV TOWNS	1000	Charming, California (SAMCRO forever!)	Sons of Anarchy
2023-10-11	0	BIG DOGS AS LITTLE PUPPIES	200	Once known as the butcher's dog because they protected cattle, this dog breed is also called the Rottie	a Rottweiler
2023-10-11	0	BIG DOGS AS LITTLE PUPPIES	400	A dog de Bordeaux, like the pup seen here, was Tom Hanks' co-star in this 1989 movie	Turner & Hooch
2023-10-11	0	BIG DOGS AS LITTLE PUPPIES	600	Here's the great this, a breed named after the mountain range that separates France & Spain	Pyrenees
2023-10-11	0	BIG DOGS AS LITTLE PUPPIES	800	The puppy seen here is a Bernese Mountain Dog, named after one of this country's cantons	Switzerland
2023-10-11	0	BIG DOGS AS LITTLE PUPPIES	1000	You get a Scooby snack if you know that this large dog breed originated in Germany, not Denmark as its name might suggest	a Great Dane
2023-10-11	0	FOR SWEATER OR WORSE	200	"Do the players wear ""jerseys"" or ""sweaters""? it's an age-old debate among fans of this sport, known for its fights"	hockey
2023-10-11	0	FOR SWEATER OR WORSE	400	For over 30 years, TV's Mister Rogers changed into his iconic red sweater, now in the Smithsonian, as he sang this song	"""Won't You Be My Neighbor?"""
2023-10-11	0	FOR SWEATER OR WORSE	600	You can score a version of this horror villain's striped sweater on Amazon for about 40 bucks -- finger knives not included	Freddy Krueger
2023-10-11	0	FOR SWEATER OR WORSE	1000	Sweaters that button in front are named for British officer James Thomas Brudenell, the 7th Earl of this	Cardigan
2023-10-11	0	FOR SWEATER OR WORSE	1000	"Anne Hathaway's cheap blue sweater sparks the wrath of Meryl Streep, who delivers a withering ""cerulean monologue"" in this film"	The Devil Wears Prada
2023-10-11	0	WINE BIZ	200	It figures that these two European countries lead the world in wine production	Italy & France
2023-10-11	0	WINE BIZ	400	There's a chance your favorite vino might be made from this most widely grown red wine grape with a two-word name	Cabernet Sauvignon
2023-10-11	0	WINE BIZ	600	This meringue ingredient is sometimes used in winemaking to balance and clarify the end product	egg whites
2023-10-11	0	WINE BIZ	800	"""Hangover"" actor Bradley can clue you in that barrel makers for wineries go by this title"	Cooper
2023-10-11	0	WINE BIZ	1000	The fraction of wine lost during aging due to this process is known affectionately as the angels' share	evaporation
2023-10-11	0	MERRIAM-WEBSTER'S WORDS OF THE YEAR	200	"While ""pandemic"" was the word for 2020, 2021 was more optimistic with this entry, thanks to Pfizer, Moderna, and others"	vaccine
2023-10-11	0	MERRIAM-WEBSTER'S WORDS OF THE YEAR	400	"In 2015, the word was the suffix ""-ism"" and 2 years later it was this ""-ism"" associated with Betty Friedan"	feminism
2023-10-11	0	MERRIAM-WEBSTER'S WORDS OF THE YEAR	600	The lady seen here is a representation of this selection for 2018	justice
2023-10-11	0	MERRIAM-WEBSTER'S WORDS OF THE YEAR	2000	A 1944 Ingrid Bergman film popularized this 11-letter word of 2022, an act of psychological manipulation	gaslighting
2023-10-11	0	MERRIAM-WEBSTER'S WORDS OF THE YEAR	1000	"In 2003, the first Merriam-Webster ""Word of the Year"" was this form of government by the people"	democracy
2023-10-11	0	RALLYING CRIES	0	Don't mess with Texas: Sam Houston's troops shouted this 3-word battle cry while attacking Santa Anna's army at San Jacinto	Remember the Alamo!
2023-10-04	0	AND THE STATE CAPITAL IS...	100	Ohio:Cleveland,Columbus,Cincinnati	Columbus
2023-10-04	0	AND THE STATE CAPITAL IS...	200	Arizona:Tucson,Scottsdale,Phoenix	Phoenix
2023-10-04	0	AND THE STATE CAPITAL IS...	300	Pennsylvania:Scranton,Harrisburg,Pittsburgh	Harrisburg
2023-10-04	0	AND THE STATE CAPITAL IS...	400	Tennessee:Chattanooga,Memphis,Nashville	Nashville
2023-10-04	0	AND THE STATE CAPITAL IS...	500	Florida:Jacksonville,Orlando,Tallahassee	Tallahassee
2023-10-04	0	FAMOUS TV SPOILERS	100	The blogger is Dan Humphrey!  Who's not even a girl!	Gossip Girl
2023-10-04	0	FAMOUS TV SPOILERS	200	Who killed Laura Palmer?  Her dad!  Possessed by an evil spirit named Bob!	Twin Peaks
2023-10-04	0	FAMOUS TV SPOILERS	300	Who is Cartman's dad?  Jack Tenorman!  Who was cooked into a pot of chili!	South Park
2023-10-04	0	FAMOUS TV SPOILERS	400	Were they all dead the whole time?  Nope!  And the island wasn't limbo--just an island!	Lost
2023-10-04	0	FAMOUS TV SPOILERS	500	Why did Mary Alice kill herself?  She was being blackmailed!  For murdering her adopted son's mom!	Desperate Housewives
2023-10-04	0	JOYCE, CARROLL, OATES	100	"""Alice's Adventures in Wonderland"""	Lewis Carroll
2023-10-04	0	JOYCE, CARROLL, OATES	200	"""Dubliners"""	James Joyce
2023-10-04	0	JOYCE, CARROLL, OATES	300	"""Blonde"""	Joyce Carol Oates
2023-10-04	0	JOYCE, CARROLL, OATES	400	"""Wonderland"""	Joyce Carol Oates
2023-10-04	0	JOYCE, CARROLL, OATES	500	"""Sylvie and Bruno"""	Lewis Carroll
2023-10-04	0	THE MEDI-VERSE	100	In the operating room, this specialist is in charge of monitoring your vital signs in addition to putting you under	the anesthesiologist
2023-10-04	0	THE MEDI-VERSE	200	Injecting fluids into the body or removing them often uses this type of needle whose name means under the skin	hypodermic
2023-10-04	0	THE MEDI-VERSE	300	As its name implies, the object seen here is placed on a finger to measure the level of this in the blood	oxygen
2023-10-04	0	THE MEDI-VERSE	400	A blood pressure reading has two parts: the systolic or top number and this, the bottom number	the diastolic
2023-10-04	0	THE MEDI-VERSE	500	Development of the fighter pilot's G-suit is one of the breakthroughs from this clinic whose name sounds like a deli condiment	the Mayo Clinic
2023-10-04	0	BLUNT BIOS OF BRAND MASCOTS	100	A bald housekeeper with a hoop earring and the biceps of a Greek god	Mr. Clean
